Output file needed for ML task
columns representation is as follows: -
1. Experiment Number
2. Trial Number
3. User Judgement of the GUI Yes (Congruent), No (Not Congruent)
4. skew of the time spend in each trial
5. Kurtosis of the time spend in each trial
6. Mean of the time spend in each trial
7. Variance of the time spend in each trial
8. Standard Deviation of the time spend in each trial
9. Block number on which maximum amount of time is spend (1 - 6 Labels and 7 - 12 pictures)
10. Total time spend in one trial
11. Total gaze distance
12. Total gaze distance in X - axis
13. Total gaze distance in Y - axis
14. Mean of the total Transition 
15. Variance of the total transition
16. Block number on which maximum transition are made (1 - 6 Labels and 7 - 12 pictures)
17. Skew of the total transition in a trial
18. Kurtosis of the total transition in a trial
19. Standard Deviation of the total transition in a trial
20. Trial Type C (Correct) = 1, W (Wrong) = 2, S (Shuffle) = 3, P (one Permutation) = 4

*****************************************************************
exp,trial,userjudgement,time_skew,time_kurtosis,time_mean,time_variance,t_sd,time_maxblock,timefortrial,gazedistall,gazedistX,gazedistY,trans_mean,trans_var,trans_maxblock,trans_skew,trans_kurtosis,trans_sd,correctlabel
2,22,Yes,0.976076543093,-0.427976660018,16.5,426.090909091,20.641969603,3,198,6271.0,5754.0,517.0,522.583333333,0.0729895104895105,2,4.62903837905,22.7769371437,0.270165709315,4
2,23,Yes,0.398431148734,-0.660313130144,20.1666666667,268.515151515,16.3864319336,12,242,133180.227104,5754.0,127742.5,11098.3522586,1816.8156565656566,11,8.30709977904,67.0100178664,42.6241205958,1
2,24,No,0.369420914502,-0.861776236706,16.3333333333,203.696969697,14.2722447322,8,196,6336.44212415,5754.0,1206.5,528.03684368,0.05283605283605283,1,3.88057000058,13.0588235294,0.229860942389,4
2,25,Yes,0.623865849341,-0.0204368887521,20.4166666667,319.174242424,17.865448285,12,245,339212.5,4795.0,334417.5,28267.7083333,9193.30647824398,11,8.21721749279,65.9738719016,95.8817317232,1
2,26,Yes,-0.0211682396247,-0.466262721448,16.25,98.9318181818,9.94644751566,12,195,159944.638711,5754.0,154506.5,13328.7198926,2633.0943570318573,11,8.3071850468,67.0109513952,51.3136858648,1
2,27,Yes,0.325401920687,0.5463852342,20.4166666667,112.265151515,10.5955250703,12,245,289010.781414,6713.0,282612.0,24084.2317845,8924.20202020202,11,8.30714205388,67.0105318169,94.4679946871,1
2,28,Yes,0.309256671096,-0.0970867946988,17.6666666667,113.515151515,10.6543489484,12,212,231870.193022,7672.0,224512.0,19322.5160851,5620.915646853147,11,8.30693634702,67.0083077767,74.9727660344,1
2,29,Yes,0.952548769278,0.907505745267,21.75,283.113636364,16.8259809926,12,261,389445.890707,6713.0,382890.0,32453.8242256,16429.072989510485,11,8.30742364746,67.0135916378,128.17594544,1
2,30,No,1.11850992459,-0.482470714558,12.0833333333,382.083333333,19.5469520216,10,145,4196.39070706,3836.0,517.5,349.699225588,0.040209790209790215,3,4.58731710926,19.0434782609,0.200523789636,2
2,31,No,1.51715520707,1.54107551295,11.8333333333,322.333333333,17.9536440127,9,142,6916.28141411,6713.0,517.5,576.35678451,0.0947940947940948,3,7.14490297457,59.0220370868,0.307886496609,2
2,32,No,0.790722982686,-1.01474445842,26.25,1001.11363636,31.6403798391,11,315,865307.5635,6713.0,859070.0,72108.963625,82950.39855283605,11,8.30746399562,67.0140567368,288.011108384,3
2,33,No,0.5730997132,-0.414640990876,16.9166666667,251.537878788,15.8599457372,12,203,236843.836397,6713.0,230290.0,19736.9863664,5906.657342657343,11,8.30732533768,67.0125724149,76.8547808705,3
2,34,No,2.11457430174,3.41705372808,13.75,767.295454545,27.7000984573,10,165,4982.89070706,4795.0,345.0,415.240892255,0.05419580419580419,4,6.12975514659,40.3517169615,0.232799923101,3
2,35,No,1.77200930354,2.41205216497,19.0833333333,816.810606061,28.5798986363,12,229,355288.172793,5754.0,349852.5,29607.3477328,12185.774475524477,11,8.29495022464,66.8745639252,110.389195466,4
2,36,Yes,0.793382199816,0.302577546899,19.6666666667,309.333333333,17.587874611,12,236,255414.227104,6713.0,249017.5,21284.5189253,6940.941676379176,11,8.30705834387,67.0096288407,83.3123140741,1
2,37,No,0.756350997627,-0.642500729404,18.0,404.909090909,20.1223530162,11,216,701423.5635,5754.0,696145.0,58451.963625,54449.58697552448,11,8.30746065895,67.0140024034,233.344352783,4
2,38,No,0.82987230873,-0.394701289541,18.0,338.727272727,18.4045448932,12,216,351123.390707,6713.0,344567.5,29260.2825589,13311.449834887335,11,8.30739897738,67.0133291571,115.375256597,3
2,39,No,1.43654912546,0.616174010205,25.0833333333,917.356060606,30.2878863674,11,301,1191076.05528,6713.0,1184909.0,99256.3379402,157742.66958041958,11,8.30746632692,67.0140397832,397.168313918,4
2,40,No,0.656857188542,-0.891112361913,26.3333333333,819.515151515,28.627175053,12,316,867276.0,3836.0,863440.0,72273.0,83727.42171717172,11,8.30743886464,67.0137509929,289.356910609,2
3,1,No,-1.23277522285,0.0968344430085,15.75,64.5681818182,8.03543289551,7,189,13853.4201251,7672.0,6811.5,1154.45167709,3.7884615384615383,11,8.1275727592,65.113190282,1.94639706598,4
3,2,No,1.04207766802,-0.0675369962667,16.1666666667,430.696969697,20.7532399807,8,194,5941.89070706,5754.0,345.0,495.157558921,0.06055749805749805,8,5.5191792916,32.7114209628,0.246084331191,2
3,3,No,2.02987532497,2.47332283142,10.25,611.295454545,24.7243898721,9,123,2877.0,2877.0,0.0,239.75,0.034527972027972025,3,9.50485651998,93.061047909,0.185817039122,2
3,4,Yes,1.13486332757,0.908748924844,18.1666666667,429.96969697,20.7357106695,10,218,6228.98152807,5754.0,861.5,519.081794006,0.05283605283605283,1,3.88057000058,13.0588235294,0.229860942389,1
3,5,Yes,0.317854755592,-1.2689961132,22.25,351.113636364,18.73802648,10,267,62632.7447337,6713.0,56467.0,5219.39539447,87.17307692307693,10,8.27472221256,66.6509251751,9.33665234027,1
