Experiment_Number,Trial_Number,User_Judgement,skew,Kurtosis,Mean,Variance,SD,Max_time_Index,total_time,Total_distance,Total_distance_X,Total_distance_Y,Correct_output
3,16,TRUE,0.304072171,-0.765400581,30,488.1818182,22.09483691,10,360,73519.78141,5754,68080,1
3,17,FALSE,0.965613386,-0.910838922,29.08333333,2069.901515,45.49617034,10,349,5155.390707,4795,517.5,2
3,18,TRUE,0.821149071,-0.921114314,28.91666667,1344.265152,36.66422168,8,347,6286.302314,5754,689,1
3,19,TRUE,0.576308291,-0.497888839,32.41666667,930.4469697,30.50322884,12,389,296565.4083,3836,293117.5,1
3,20,TRUE,0.16566747,1.028597018,32.58333333,254.2651515,15.94569382,10,391,195471.693,5754,190031.5,1
3,21,FALSE,1.808040262,1.324210276,27.91666667,3807.537879,61.70525001,4,335,2877,2877,0,2
3,22,TRUE,0.636361378,-1.218538689,29.75,1062.75,32.59984663,2,357,6271,5754,517,3
3,23,TRUE,-0.062175008,-0.839372461,31.25,414.75,20.36541185,12,375,134930.2271,5754,129492.5,1
3,24,FALSE,0.067176493,-0.527192794,29.91666667,374.8106061,19.36002598,10,359,6336.442124,5754,1206.5,3
3,25,TRUE,0.228597367,-0.856848546,33.08333333,583.1742424,24.14900086,9,397,346187.5,4795,341392.5,1
3,26,TRUE,0.009519769,0.487131528,31.41666667,242.4469697,15.57070871,10,377,161694.6387,5754,156256.5,1
3,27,TRUE,1.228261249,0.761730218,32.83333333,208.6969697,14.44634797,10,394,290760.7814,6713,284362,1
3,28,TRUE,0.056441449,0.240544361,32.08333333,313.3560606,17.70186602,10,385,233620.193,7672,226262,1
3,29,TRUE,0.007205085,-0.63154651,33.58333333,462.8106061,21.5130334,12,403,392945.8907,6713,386390,1
3,30,FALSE,1.125368591,-0.354158375,29.5,2216.818182,47.08309869,4,354,4196.390707,3836,517.5,2
3,31,FALSE,1.483013167,0.822105027,29.66666667,2303.878788,47.99873736,3,356,6916.281414,6713,517.5,2
3,32,FALSE,0.403390598,-1.422306604,37.16666667,1519.969697,38.98678875,5,446,868807.5635,6713,862570,4
3,33,FALSE,0.12032692,-1.445569294,31.41666667,781.9015152,27.96250195,10,377,238593.8364,6713,232040,4
3,34,FALSE,2.053976312,3.085645061,29.75,3414.204545,58.43119497,10,357,4982.890707,4795,345,4
3,35,FALSE,1.029875375,-0.104117516,33.83333333,1912.151515,43.72815472,12,406,360513.1728,5754,355077.5,3
3,36,TRUE,-0.067591455,-1.175674461,31.83333333,588.5151515,24.25933123,12,382,258914.2271,6713,252517.5,1
3,37,FALSE,0.396969998,-1.413445005,38,1635.636364,40.44300142,11,456,704923.5635,5754,699645,3
3,38,FALSE,0.004427559,-1.20273805,31.66666667,586.969697,24.2274575,12,380,352873.3907,6713,346317.5,4
3,39,FALSE,0.9547602,-0.416761608,39.41666667,1631.537879,40.39229975,11,473,1194576.055,6713,1188409,3
3,40,FALSE,0.473121576,-0.947701295,35.5,1107.909091,33.28526838,9,426,872526,3836,868690,2
4,1,FALSE,0.699660406,-0.316619088,39.08333333,212.8106061,14.58802955,9,469,15603.42013,7672,8561.5,3
4,2,FALSE,0.613920545,-0.77013896,40.33333333,1889.515152,43.46855359,10,484,7702.781414,7672,345,2
4,3,FALSE,2.149520085,3.536804016,38.08333333,5741.356061,75.77173656,9,457,2877,2877,0,2
4,4,TRUE,1.057921362,0.1573579,41.83333333,2046.515152,45.23842561,10,502,6228.981528,5754,861.5,1
4,5,TRUE,0.517502131,0.192373831,44.83333333,664.1515152,25.77113725,10,538,69582.74473,6713,63417,1
4,6,TRUE,2.302898658,4.145568054,46.75,1339.840909,36.60383735,10,561,63820.03052,6713,57731.5,1
4,7,FALSE,0.772355851,-0.778003293,41.66666667,1974.242424,44.43244788,9,500,51474.40834,4795,47067.5,4
4,8,FALSE,1.587211019,2.763354286,42.25,1349.840909,36.74018112,10,507,129853.3023,5754,124256,4
